sentences	sensitiveAttr
<Express_intent_to_meet_or_negotiate>Company_-_Owner_or_Operator_(Italy),<Host_a_visit>Ministry_(France),<Make_a_visit>France,<Express_intent_to_meet_or_negotiate>François_Hollande,	<Media_(Africa)>
<Engage_in_negotiation>Khaled_Bahah,	<Thaksin_Shinawatra>
<Praise_or_endorse>Actor_(Gabon),	<Emilio_Pérez_Touriño>
<Praise_or_endorse>Head_of_Government_(Senegal),	<Criminal_(Pakistan)>
<Consult>Foreign_Affairs_(United_States),<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Afghanistan,<Praise_or_endorse>Kazakhstan,<Consult>Afghanistan,	<John_Kerry>
<Make_an_appeal_or_request>Public_Prosecutor_(Turkey),	<Businessperson_(Turkey)>
<Praise_or_endorse>Government_(Nigeria),	<Business_(Netherlands)>
<Host_a_visit>Jens_Stoltenberg,	<Armed_Band_(Afghanistan)>
<Accuse>Media_(India),	<Xi_Jinping>
<Meet_at_a_'third'_location>Association_of_Southeast_Asian_Nations,	<Cabinet_/_Council_of_Ministers_/_Advisors_(Libya)>
<Criticize_or_denounce>Canada,	<Oman>
<Sign_formal_agreement>Taavi_Rõivas,	<Somali_National_Army>
<Criticize_or_denounce>Citizen_(Kenya),<Consult>Citizen_(Kenya),	<Kivutha_Kibwana>
<Express_intent_to_meet_or_negotiate>Head_of_Government_(Belarus),	<Social_Democratic_Party_(Lithuania)>
<Host_a_visit>Ibrahim_Boubacar_Keïta,	<Iraq>
<Make_an_appeal_or_request>Lawmaker_(Slovakia),	<National_Liberal_Party>
<Consult>Head_of_Government_(Pakistan),<Engage_in_negotiation>Head_of_Government_(Ukraine),<Make_a_visit>Poland,	<Madeleine_Albright>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Legislature_(Italy),	<Congo>
<Express_intent_to_cooperate>Abdel_Fattah_Al-Sisi,<Consult>Nicos_Anastasiades,<Express_intent_to_meet_or_negotiate>Head_of_Government_(Greece),<Express_intent_to_meet_or_negotiate>Alexis_Tsipras,	<Coalition_of_the_Radical_Left>
<Make_an_appeal_or_request>Governor_(Thailand),	<Chief_Court_Judge_(Zambia)>
<Carry_out_suicide_bombing>Citizen_(International),	<Western_Sahara>
<fight_with_small_arms_and_light_weapons>Egyptian_Army,	<Dimitrios_Avramopoulos>
<Abduct_hijack_or_take_hostage>Citizen_(Nigeria),	<Armed_Band_(Lebanon)>
<Use_unconventional_violence>Israeli_Defense_Forces,	<United_Progressive_Alliance>
<Consult>Foreign_Affairs_(Denmark),<Make_a_visit>China,<Consult>Mamnoon_Hussain,<Express_intent_to_meet_or_negotiate>Head_of_Government_(Pakistan),<Praise_or_endorse>North_Atlantic_Treaty_Organization,	<Afghanistan>
<Sign_formal_agreement>South_Korea,	<Head_of_Government_(Ukraine)>
<Host_a_visit>Iraq,	<Medical_Personnel_(Jordan)>
<Carry_out_suicide_bombing>Afghanistan,	<Legislature_(Libya)>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Qatar,<Return_release_person(s)>Qatar,<Express_intent_to_cooperate>United_Arab_Emirates,<Host_a_visit>European_Parliament,	<Republican_People's_Party>
<Make_a_visit>Fiji,<Express_intent_to_meet_or_negotiate>Citizen_(Indonesia),<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>Iran,<Express_intent_to_meet_or_negotiate>Xi_Jinping,<Cooperate_economically>China,<Express_intent_to_meet_or_negotiate>Myanmar,<Mobilize_or_increase_police_power>Iraq,<Express_intent_to_meet_or_negotiate>China,<Consult>Dmitry_Anatolyevich_Medvedev,<Make_optimistic_comment>Myanmar,<Make_a_visit>Xi_Jinping,	<North_Atlantic_Treaty_Organization>
<Consult>John_Paul_II,	<Abdul_Aziz>
<Cooperate_militarily>Police_(Israel),	<John_Kerry>
<Engage_in_symbolic_act>Gough_Whitlam,	<Defense_/_Security_Ministry_(China)>
<Threaten_with_military_force>Citizen_(Germany),<Use_conventional_military_force>Indigenous_People_(Nigeria),	<Government_(Nigeria)>
<Criticize_or_denounce>Women_(Bolivia),	<Business_(Russia)>
<Make_a_visit>Iran,	<Ethnic_Group_(India)>
<Make_a_visit>Oman,	<Fumio_Kishida>
<Make_optimistic_comment>Xi_Jinping,	<Thailand>
<Meet_at_a_'third'_location>Morocco,	<Aam_Aadmi_Party>
<Make_pessimistic_comment>Military_(Russia),<Make_a_visit>France,<Engage_in_negotiation>China,<Express_intent_to_cooperate>Japan,	<Liberal_Party_(Canada)>
<Make_a_visit>Oman,<Consult>Mohammad_Javad_Zarif,	<Iran>
<Arrest_detain_or_charge_with_legal_action>Men_(India),	<Lawyer/Attorney_(Uganda)>
<Make_an_appeal_or_request>Tsai_Ing-wen,	<Armed_Gang_(Lebanon)>
<Praise_or_endorse>China,	<Mob_(Kenya)>
<Make_a_visit>Vietnam,	<Jakaya_Mrisho_Kikwete>
<Express_intent_to_meet_or_negotiate>Iran,	<Armed_Gang_(United_States)>
<fight_with_small_arms_and_light_weapons>Police_(Israel),	<Morteza_Sarmadi>
