sentences	sensitiveAttr
<Use_conventional_military_force>Mamadou_Ndala,	<City_Mayor_(Indonesia)>
<Host_a_visit>Congress_(United_States),<Consult>Sergey_Kuzhugetovich_Shoygu,<Consult>Sabah_Khaled_Al-Hamad_Al-Sabah,<Consult>Amr_Mohammed_Moussa,	<Media_(Africa)>
<Consult>Foreign_Affairs_(India),	<Independence_Party>
<Praise_or_endorse>Ethiopia,	<Kivutha_Kibwana>
<Criticize_or_denounce>Armed_Gang_(Afghanistan),	<John_Kerry>
<Consult>People_Associated_with_the_Opposition_(Turkey),<Appeal_to_others_to_meet_or_negotiate>Opposition_Supporter_(Turkey),<Consult>Giorgio_Napolitano,	<Businessperson_(Turkey)>
<Make_a_visit>Afghanistan,	<Armed_Gang_(Saudi_Arabia)>
<Consult>UN_Security_Council,	<Veterans_(Croatia)>
<Praise_or_endorse>Police_(Central_African_Republic),	<Ministry_(Nigeria)>
<Host_a_visit>Bismillah_Khan_Mohammadi,<Praise_or_endorse>Romania,	<Armed_Band_(Afghanistan)>
<Make_a_visit>Ethiopia,<Consult>Ethiopia,	<Lawyer/Attorney_(Colombia)>
<Discuss_by_telephone>François_Hollande,<Consult>Irakli_Alasania,	<Hamas>
<Consult>Head_of_Government_(India),	<Xi_Jinping>
<Praise_or_endorse>Government_(Syria),	<Oman>
<Accuse>Ministry_(Nigeria),	<Government_(Nigeria)>
<Criticize_or_denounce>Guatemala,	<Scientist_(Tajikistan)>
<Consult>Defense_/_Security_Ministry_(Egypt),<Consult>Abdel_Fattah_Al-Sisi,	<Hamdeen_Sabahi>
<Express_intent_to_meet_or_negotiate>Representatives_(Senegal),	<China>
<Demand>Yulia_Tymoshenko,<Make_a_visit>France,<Express_intent_to_cooperate>Vitali_Klitschko,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Barack_Obama,<Consult>François_Hollande,	<Madeleine_Albright>
<Host_a_visit>Paul_Kagame,<Host_a_visit>Ministry_(United_States),	<Congo>
<Mobilize_or_increase_armed_forces>Military_(Russia),	<Benazir_Bhutto>
<Occupy_territory>Iraq,	<Argentine_Naval_Prefecture>
<Abduct_hijack_or_take_hostage>Trade_Official_(South_Korea),	<Court_Judge_(Iraq)>
