sentences	sensitiveAttr
<Sign_formal_agreement>Business_(Lithuania),	<Armed_Band_(Afghanistan)>
<Express_intent_to_meet_or_negotiate>Chaudhry_Nisar_Ali_Khan,	<Iran>
<Accuse>Ministry_(Afghanistan),<Consult>Party_Member_(Afghanistan),	<John_Kerry>
<Reject_plan_agreement_to_settle_dispute>Devlet_Bahçeli,<Reduce_or_break_diplomatic_relations>China,	<Businessperson_(Turkey)>
<Demand_change_in_leadership>Cabinet_/_Council_of_Ministers_/_Advisors_(Thailand),	<Owen_Ellington>
<Accuse>Iran,	<Liberals_(Canada)>
<Abduct_hijack_or_take_hostage>Businessperson_(China),	<Nestor_Kirchner>
<Praise_or_endorse>China,	<State_Security_Service>
<Praise_or_endorse>Ashraf_Ghani_Ahmadzai,<Express_intent_to_meet_or_negotiate>Iran,	<Armed_Band_(Afghanistan)>
<Make_a_visit>Iran,	<China>
<Express_intent_to_meet_or_negotiate>Head_of_Government_(India),	<Xi_Jinping>
<Acknowledge_or_claim_responsibility>Djibouti,<Use_conventional_military_force>Djibouti,	<Police_(Dominican_Republic)>
<Make_an_appeal_or_request>Antonis_Samaras,	<France>
<Make_optimistic_comment>Citizen_(Lithuania),	<Social_Democratic_Party_(Lithuania)>
<Criticize_or_denounce>Boko_Haram,	<Government_(Nigeria)>
<Express_intent_to_meet_or_negotiate>Canada,	<Julie_Bishop>
<Consult>Head_of_Government_(Ukraine),	<Madeleine_Albright>
<Consult>Cape_Verde,	<Congo>
<Accuse>Main_Opposition_(Greece),	<Coalition_of_the_Radical_Left>
<Criticize_or_denounce>Political_Parties_(Brazil),	<Yemi_Osinbajo>
<Sign_formal_agreement>Government_(Syria),	<Pervez_Musharraf>
<Use_unconventional_violence>Citizen_(Yemen),<Assassinate>Defense_/_Security_Ministry_(Yemen),	<Argentine_Naval_Prefecture>
<Use_unconventional_violence>Muslim_Cleric_(Libya),<Use_unconventional_violence>Police_(Libya),	<Court_Judge_(Iraq)>
<Abduct_hijack_or_take_hostage>Priest_(Uganda),	<The_Standard>
<Use_unconventional_violence>Villager_(Thailand),	<Media_Personnel_(Thailand)>
<Use_unconventional_violence>Military_(Mali),	<Government_(Mauritania)>
<Use_unconventional_violence>Activist_(Syria),<Retreat_or_surrender_militarily>Government_(Syria),<Use_unconventional_violence>Government_(Syria),	<United_Progressive_Alliance>
<Consult>Iran,<Engage_in_diplomatic_cooperation>Iran,<Consult>Tajikistan,<Host_a_visit>François_Hollande,	<Cobra_Matata>
<Use_conventional_military_force>Citizen_(Venezuela),	<Member_of_Parliament_(Romania)>
<Make_an_appeal_or_request>Abdel_Fattah_Al-Sisi,	<South_Africa>
<Sign_formal_agreement>Mauro_Borges,	<Education_Ministry_(France)>
<Make_an_appeal_or_request>Citizen_(International),	<Military_(Russia)>
<Accuse>Government_(Syria),	<Medical_Personnel_(Nigeria)>
<Reject>Member_of_Parliament_(Kuwait),	<Government_(Venezuela)>
<Make_pessimistic_comment>Vietnam,<Express_intent_to_meet_or_negotiate>Japan,	<Head_of_Government_(Ukraine)>
<Conduct_suicide_car_or_other_non-military_bombing>Colombia,	<Naval_(China)>
<Use_unconventional_violence>Citizen_(Xinjiang Uyghur),	<Karim_Wade>
<Accuse>Citizen_(Nigeria),	<Haaretz>
<Accuse>Abu_Bakr_al-Baghdadi,	<Henry_M._Paulson>
<Express_intent_to_cooperate>Citizen_(Nigeria),	<Media_(Nigeria)>
<Decline_comment>Iran,	<Imad_Mugniyah>
<Consult>Angela_Merkel,<Consult>Eric_Ken_Shinseki,<Host_a_visit>Angela_Merkel,<Make_a_visit>Poland,<Express_intent_to_meet_or_negotiate>Poland,<Make_empathetic_comment>Citizen_(Turkey),<Impose_embargo_boycott_or_sanctions>Myanmar,	<North_Atlantic_Treaty_Organization>
<Make_a_visit>Ethiopia,	<Defense_/_Security_Ministry_(South_Sudan)>
<Discuss_by_telephone>Reuven_Rivlin,<Consult>Tzipi_Livni,<Express_intent_to_meet_or_negotiate>Japan,	<John_Kerry>
<fight_with_small_arms_and_light_weapons>Cameroon,<Make_pessimistic_comment>Citizen_(Nigeria),<Consult>Oluṣẹgun_Ọbasanjọ,<Use_unconventional_violence>Citizen_(Nigeria),<Express_intent_to_release_persons_or_property>Citizen_(Nigeria),<Use_conventional_military_force>Military_Personnel_-_Special_(Nigeria),<Accuse>Citizen_(Nigeria),	<Government_(Nigeria)>
<Consult>Sergey_Kuzhugetovich_Shoygu,<Consult>Foreign_Affairs_(Russia),	<Sikh_(India)>
<Make_an_appeal_or_request>Citizen_(Nigeria),	<Israeli_Defense_Forces>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Ingush,	<Student_(Tanzania)>
<Meet_at_a_'third'_location>Niger,	<Aam_Aadmi_Party>
<Arrest_detain_or_charge_with_legal_action>Children_(Canada),<Praise_or_endorse>Government_(Kenya),<Make_an_appeal_or_request>Military_Personnel_(Canada),	<Liberal_Party_(Canada)>
<Arrest_detain_or_charge_with_legal_action>Citizen_(Cape_Verde),	<Lawyer/Attorney_(Uganda)>
<Make_a_visit>South_Korea,	<Iran>
<Consult>Malaysia,<Express_intent_to_meet_or_negotiate>South_Africa,<Host_a_visit>Ministry_(Iran),<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Portugal,<Use_tactics_of_violent_repression>News_Editor_(China),<Accuse>Philippines,<Accuse>Japan,<Reduce_relations>Japan,<Engage_in_diplomatic_cooperation>Ethiopia,<Coerce>Liu_Han,<Host_a_visit>Head_of_Government_(Turkmenistan),<Criticize_or_denounce>Lawmaker_(United_States),<Arrest_detain_or_charge_with_legal_action>Liu_Han,<Make_optimistic_comment>Iran,<Accuse>Separatist_Militant_(Xinjiang Uyghur),<Consult>Foreign_Affairs_(United_States),<Provide_humanitarian_aid>Vietnam,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Ethiopia,<Make_an_appeal_or_request>Afghanistan,<Host_a_visit>Chang_Wanquan,<Engage_in_diplomatic_cooperation>Japan,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Malaysia,	<Afghanistan>
<Make_a_visit>Foreign_Affairs_(South_Korea),	<Iran>
<Threaten>Labor_and_Employment_Ministry_(Australia),	<Military_(China)>
<Make_an_appeal_or_request>Member_of_the_Judiciary_(Greece),	<Business_(Canada)>
<Make_optimistic_comment>Governor_(India),<Criticize_or_denounce>New_Way_Movement,<Demonstrate_or_rally>Party_President_(Bharatiya_Janata),<Reject>Tarun_Gogoi,	<Education_(Nigeria)>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Prabowo_Subianto,	<Imad_Mugniyah>
<Reject>Government_(Kenya),	<Volvo>
<Accede_to_requests_or_demands_for_political_reform>Mauritania,	<Ukrinform>
<Make_an_appeal_or_request>Boko_Haram,<Make_an_appeal_or_request>Ministry_(Nigeria),<Make_an_appeal_or_request>Trade_Union_Congress,<Criticize_or_denounce>Boko_Haram,<Criticize_or_denounce>Alex_Badeh,<Express_intent_to_meet_or_negotiate>Boko_Haram,<Make_pessimistic_comment>Government_(Nigeria),<Engage_in_symbolic_act>Royal_Administration_(Nigeria),	<Employee_(Kuwait)>
<Demand_meeting_negotiation>Head_of_Government_(South_Korea),<Criticize_or_denounce>Japan,	<Arnaud_Montebourg>
<Demand>Citizen_(Nigeria),	<Head_of_Government_(Germany)>
<Accuse>Police_(Tanzania),<Conduct_suicide_car_or_other_non-military_bombing>Tanzania,	<Other_Authorities_/_Officials_(Egypt)>
<Express_intent_to_meet_or_negotiate>Togo,	<Holy_See>
<Accuse>Associated_Press,<Accuse_of_espionage_treason>Other_Authorities_/_Officials_(Venezuela),	<Military_(Lebanon)>
<Make_an_appeal_or_request>Party_Member_(Yemen),<Make_an_appeal_or_request>Employee_(Yemen),	<Volvo>
<Make_an_appeal_or_request>Citizen_(Venezuela),	<Colombia>
<Make_an_appeal_or_request>Joseph_Ole_Lenku,	<Criminal_(Argentina)>
<Appeal_for_easing_of_administrative_sanctions>Morocco,	<Morocco>
<Accuse>Evangelos_Venizelos,<Accuse>Panhellenic_Socialist_Movement,	<New_Democracy>
<Host_a_visit>Human_Rights_Watch,<Arrest_detain_or_charge_with_legal_action>Luis_Alfonso_Hoyos,	<Combatant_(Islamic_State_of_Iraq_and_the_Levant)>
<Make_an_appeal_or_request>Election_Commission_(India),<Accuse>Employee_(India),	<Ethnic_Group_(India)>
<Consult>Foreign_Affairs_(Belarus),	<Air_Force_(Iraq)>
<Complain_officially>Employee_(India),	<Thief_(India)>
<Host_a_visit>Herve_Ladsous,	<Romania>
<Refuse_to_release_persons_or_property>Men_(India),	<Medical_Personnel_(India)>
<Make_an_appeal_or_request>Member_of_the_Judiciary_(Nigeria),	<Oversight_Court_(Nigeria)>
<Arrest_detain_or_charge_with_legal_action>Citizen_(United_Kingdom),	<Government_(Panama)>
<Return_release_person(s)>Citizen_(Brazil),	<Police_(Senegal)>
<Make_a_visit>Mexico,	<Government_(Argentina)>
<Consult>Pogu_Bitrus,	<Government_(Bahamas)>
<Make_optimistic_comment>Secretariat_(Nigeria),	<Ministry_(Nigeria)>
<Consult>Benjamin_Netanyahu,	<North_Korea>
<Express_intent_to_provide_material_aid>Citizen_(Yemen),<Make_an_appeal_or_request>Combatant_(Yemen),	<Military_(Central_African_Republic)>
<Host_a_visit>Preneet_Kaur,	<Aam_Aadmi_Party>
<Consult>Angela_Merkel,<Express_intent_to_meet_or_negotiate>Armenia,<Consult>Sergey_Viktorovich_Lavrov,	<Abdul_Aziz>
<Arrest_detain_or_charge_with_legal_action>Citizen_(Djibouti),	<Legislature_(Turkey)>
<Express_intent_to_meet_or_negotiate>Citizen_(Kyrgyzstan),	<Salvador_Sánchez_Cerén>
<Demand>Gazprom,	<Arseniy_Yatsenyuk>
<Make_an_appeal_or_request>Member_of_the_Judiciary_(United_States),	<Ogbeni_Rauf_Aregbesola>
<Accuse_of_human_rights_abuses>Myanmar,	<South_Sudan>
<Consult>Party_Member_(Afghanistan),	<Party_Member_(Afghanistan)>
<Praise_or_endorse>Citizen_(India),	<Ministry_(Czech_Republic)>
<Use_conventional_military_force>Aam_Aadmi_Party,<Use_conventional_military_force>Dharamvira_Gandhi,	<Thief_(India)>
<Demonstrate_or_rally>China,	<Military_(France)>
<Praise_or_endorse>Iran,	<Madeleine_Albright>
<Praise_or_endorse>Citizen_(Germany),<Make_a_visit>Romania,	<Armed_Gang_(Egypt)>
<Make_an_appeal_or_request>Citizen_(Greece),	<North_Atlantic_Treaty_Organization>
<Host_a_visit>Joseph_Robinette_Biden,	<Police_(Ukraine)>
<Praise_or_endorse>Viktor_Orban,	<Member_of_the_Judiciary_(Nigeria)>
<Consult>Company_-_Owner_or_Operator_(Armenia),	<Jason_C._Hu>
<Praise_or_endorse>Other_Authorities_/_Officials_(Libya),<Make_an_appeal_or_request>Canada,	<Armenia>
<Consult>Envoy_(Vietnam),	<Iran>
<Demand>Malawi_Electoral_Commission,<Make_optimistic_comment>China,<Make_an_appeal_or_request>Sudan,	<Angola>
<Engage_in_diplomatic_cooperation>Other_Authorities_/_Officials_(Mali),<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Japan,<Sign_formal_agreement>China,<Make_an_appeal_or_request>European_Central_Bank,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Vietnam,<Make_an_appeal_or_request>UN_Security_Council,<Engage_in_diplomatic_cooperation>Mauritania,	<Boko_Haram>
<Host_a_visit>Japan,	<Congress_(Philippines)>
<Make_a_visit>France,<Host_a_visit>Angela_Merkel,	<Boko_Haram>
<Consult>Rashid_Derbas,	<Foreign_Affairs_(Russia)>
<Consult>Gideon_Gono,	<Angela_Merkel>
<Arrest_detain_or_charge_with_legal_action>Women_(Sierra_Leone),	<Head_of_Government_(Greece)>
<Engage_in_material_cooperation>Police_(Kenya),	<Militia_(Kenya)>
<Praise_or_endorse>Chevron,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Military_Personnel_(Nigeria),<Make_an_appeal_or_request>Company_-_Owner_or_Operator_(Nigeria),<Make_an_appeal_or_request>Citizen_(Nigeria),<Make_an_appeal_or_request>UN_Security_Council,	<Medical_Personnel_(Nigeria)>
<Criticize_or_denounce>Thailand,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Indigenous_People_(South_Africa),	<Defense_/_Security_Ministry_(Nigeria)>
<Praise_or_endorse>Ministry_(Angola),<Consult>Angola,	<Angola>
<Consult>Tourist_Board_(Kenya),	<James_Ongwae>
