sentences	sensitiveAttr
<Engage_in_negotiation>Tony_Blair,<Consult>Company_-_Owner_or_Operator_(Egypt),<Yield>News_Editor_(Egypt),<Consult>Ministry_(Egypt),	<Media_(Africa)>
<Host_a_visit>Royal_Administration_(Spain),	<Independence_Party>
<Host_a_visit>Royal_Administration_(Saudi_Arabia),	<Jean-Yves_Le_Drian>
<Reduce_relations>Election_Commission_(Afghanistan),<Accuse>Ashraf_Ghani_Ahmadzai,<Accuse>Election_Commission_(Afghanistan),<Reduce_or_break_diplomatic_relations>Election_Commission_(Afghanistan),<Express_intent_to_cooperate>Ashraf_Ghani_Ahmadzai,<Consult>Senate_Armed_Services_Committee,<Make_a_visit>Ashraf_Ghani_Ahmadzai,	<John_Kerry>
<Make_optimistic_comment>China,<Consult>Massoud_Barzani,	<Businessperson_(Turkey)>
<Accuse>Military_(Philippines),	<Nurse_(France)>
<Criticize_or_denounce>Citizen_(Nigeria),	<Moro_National_Liberation_Front>
<Host_a_visit>Cabinet_/_Council_of_Ministers_/_Advisors_(United_States),<Host_a_visit>Sun_Yuxi,<Mediate>Presidential_Candidate_(Afghanistan),<Express_intent_to_cooperate>Abdullah_Abdullah,	<Armed_Band_(Afghanistan)>
<Use_conventional_military_force>Military_Personnel_(Somalia),	<Lawyer/Attorney_(Colombia)>
<fight_with_artillery_and_tanks>Iran,	<Court_Judge_(Honduras)>
<Praise_or_endorse>Hamas,	<Qatar>
<Consult>Foreign_Affairs_(United_States),	<Mob_(Kenya)>
<Express_intent_to_meet_or_negotiate>Domestic_Affairs_(Germany),	<Haiti>
<Express_intent_to_cooperate>Dmitry_Anatolyevich_Medvedev,	<Somali_National_Army>
<Make_an_appeal_or_request>Citizen_(Greece),	<France>
<Make_an_appeal_or_request>Citizen_(Nigeria),	<Government_(Sweden)>
<Abduct_hijack_or_take_hostage>Citizen_(India),	<Armed_Gang_(Egypt)>
<Investigate>Bala_Ngilari,	<Murtala_Nyako>
<Make_a_visit>Iraq,	<Scientist_(Tajikistan)>
<Make_an_appeal_or_request>Government_Affiliated_Bank_(Sweden),	<Activist_(United_States)>
