sentences	sensitiveAttr
<Threaten>Citizen_(India),<Make_an_appeal_or_request>Citizen_(India),	<Election_Commission_(India)>
<Make_a_visit>Cairo_University,<Consult>Henry_Kissinger,<Consult>Foreign_Affairs_(Argentina),	<Media_(Africa)>
<Consult>Mamnoon_Hussain,<Sign_formal_agreement>Ashraf_Ghani_Ahmadzai,<Sign_formal_agreement>Agence_France-Presse,<Threaten>Afghanistan,	<John_Kerry>
<Discuss_by_telephone>Angela_Merkel,<Host_a_visit>Bill_Haslam,<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>Ashraf_Ghani_Ahmadzai,	<Armed_Band_(Afghanistan)>
<Praise_or_endorse>Lesotho,	<Lawyer/Attorney_(Colombia)>
<Make_a_visit>Sudan,	<Indigenous_People_(United_Kingdom)>
<Use_conventional_military_force>Terrorist_(Islamic_State_of_Iraq_and_the_Levant),	<Other_Authorities_/_Officials_(Russia)>
<Make_a_visit>China,	<Terrorist_Leader_(Syria)>
<Engage_in_symbolic_act>Citizen_(India),	<Xi_Jinping>
<Accuse>Citizen_(United_Kingdom),<Make_an_appeal_or_request>Liberal_Democratic_Party_(United_Kingdom),	<Party_Member_(United_Kingdom)>
<Consult>New_Democracy,<Demand>Citizen_(Greece),	<France>
<Consult>Ministry_(France),	<Iraq>
<Make_a_visit>Shivraj_Singh_Chouhan,	<Criminal_(Argentina)>
<Consult>Citizen_(Thailand),<Make_an_appeal_or_request>Government_(Nigeria),<Criticize_or_denounce>National_Council_for_Peace_and_Order_of_Thailand,	<Scientist_(Tajikistan)>
<Praise_or_endorse>Government_(France),<Praise_or_endorse>Head_of_Government_(Qatar),<Discuss_by_telephone>Afghanistan,<Praise_or_endorse>Head_of_Government_(Germany),	<Madeleine_Albright>
<Make_an_appeal_or_request>Citizen_(International),	<Communist_Party_of_Bohemia_and_Moravia>
<Express_intent_to_cooperate>Nicos_Anastasiades,	<Coalition_of_the_Radical_Left>
<Consult>Ishaq_Dar,	<Pakistan_Tehreek-e-Insaf>
<Use_unconventional_violence>North_Atlantic_Treaty_Organization,	<Media_(Africa)>
<Use_unconventional_violence>Activist_(Syria),	<Pervez_Musharraf>
<Use_unconventional_violence>Combatant_(Islamic_State_of_Iraq_and_the_Levant),	<Businessperson_(Turkey)>
<Occupy_territory>Citizen_(Nigeria),	<AvtoVAZ>
<fight_with_small_arms_and_light_weapons>Company_-_Owner_or_Operator_(India),	<Head_of_Government_(Nigeria)>
<Host_a_visit>Legislature_(Belarus),	<Cobra_Matata>
<Make_an_appeal_or_request>Citizen_(International),	<Head_of_Government_(Ukraine)>
<Sign_formal_agreement>Abdullah_Abdullah,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Abdullah_Abdullah,<Demand>Afghanistan,<Express_intent_to_cooperate>Abdullah_Abdullah,	<Afghanistan>
<Consult>Media_(India),	<Armed_Gang_(Egypt)>
<Accuse>Bangladesh_Nationalist_Party,<Criticize_or_denounce>Citizen_(Bangladesh),	<Government_(South_Africa)>
<Consult>Morocco,	<Republican_People's_Party>
<Make_an_appeal_or_request>Governor_(Albania),	<Protester_(Hong_Kong)>
<Express_intent_to_meet_or_negotiate>Abdel_Fattah_Al-Sisi,<Express_intent_to_provide_military_aid>France,<Express_intent_to_provide_military_aid>Armed_Rebel_(Syria),<Consult>Abdullah_Abdullah,<Appeal_for_material_cooperation>Citizen_(International),<Threaten>Citizen_(International),<Engage_in_symbolic_act>Military_(Vietnam),<Consult>North_Atlantic_Treaty_Organization,<Consult>Toomas_Hendrik_Ilves,<Praise_or_endorse>Iraq,<Make_an_appeal_or_request>Citizen_(International),<Express_intent_to_meet_or_negotiate>Toomas_Hendrik_Ilves,	<North_Atlantic_Treaty_Organization>
<Praise_or_endorse>Barack_Obama,	<John_Kerry>
<Make_pessimistic_comment>Citizen_(India),	<Police_(Hong_Kong)>
<Demand>Government_(Nigeria),	<Uhuru_Muigai_Kenyatta>
<Praise_or_endorse>Barack_Obama,	<National_Council_for_Peace_and_Order_of_Thailand>
<Impose_administrative_sanctions>Citizen_(India),	<Government_(United_States)>
<Make_an_appeal_or_request>Kisii,	<Court_Judge_(Mexico)>
<Consult>High_Commission_(United_Kingdom),	<Oil_Tanker_(Bangladesh)>
<Consult>Benjamin_Netanyahu,	<Ethnic_Group_(India)>
<Make_a_visit>Middle_East,<Meet_at_a_'third'_location>Abdel_Fattah_Al-Sisi,<Praise_or_endorse>Ashraf_Ghani_Ahmadzai,<Consult>Mohammad_Javad_Zarif,<Praise_or_endorse>Fiji,<Praise_or_endorse>Afghanistan,<Express_intent_to_meet_or_negotiate>Sergey_Viktorovich_Lavrov,<Consult>Catherine_Ashton,	<Fumio_Kishida>
<Arrest_detain_or_charge_with_legal_action>Democratic_Union_of_Cameroon,	<Aam_Aadmi_Party>
<Make_an_appeal_or_request>Businessperson_(Canada),<Sign_formal_agreement>South_Korea,<Mobilize_or_increase_armed_forces>Iraq,<Praise_or_endorse>Iraq,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Business_(Canada),<Arrest_detain_or_charge_with_legal_action>Employee_(Canada),	<Liberal_Party_(Canada)>
<Consult>Ministry_(Iran),<Consult>Cabinet_/_Council_of_Ministers_/_Advisors_(United_States),	<Iran>
<Express_intent_to_meet_or_negotiate>Citizen_(Nigeria),	<Military_Personnel_(Mali)>
<Consult>Foreign_Affairs_(Ukraine),	<Other_Authorities_/_Officials_(Switzerland)>
<Host_a_visit>Media_Personnel_(International),<Express_intent_to_meet_or_negotiate>Japan,<Provide_military_aid>South_Sudan,<Consider_policy_option>Japan,<Coerce>Uighur_(China),<Consult>Barack_Obama,<Consult>South_Korea,<Praise_or_endorse>Romania,<Express_intent_to_provide_material_aid>Sierra_Leone,<Consult>Labor_Union_(China),<Make_an_appeal_or_request>Malaysia,<Host_a_visit>Sadayuki_Sakakibara,<Meet_at_a_'third'_location>France,<Consult>Mehr_News_Agency,	<Afghanistan>
<Express_intent_to_provide_economic_aid>Exim_Bank,	<Social_Democratic_Union>
<Make_optimistic_comment>Citizen_(Australia),	<Business_(Bulgaria)>
<Express_intent_to_cooperate>Akinori_Eto,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Japan,	<Iran>
<Threaten_with_military_force>Police_(Australia),<Demand>Member_of_Parliament_(Australia),<Physically_assault>Police_(Australia),<Acknowledge_or_claim_responsibility>Member_of_the_Judiciary_(United_States),<Express_intent_to_meet_or_negotiate>Middle_East,<Use_unconventional_violence>Lawyer/Attorney_(Australia),<Use_unconventional_violence>Terrorist_(Islamic_State_of_Iraq_and_the_Levant),	<Military_(China)>
<Use_unconventional_violence>Iraq,	<Member_of_Legislative_(Govt)_(Kenya)>
<Criticize_or_denounce>Alexis_Tsipras,	<Business_(Canada)>
<Demand_economic_aid>Shahid_Khan,<Make_an_appeal_or_request>Dinesh_Sharma,<Make_pessimistic_comment>Barack_Obama,<Criticize_or_denounce>Member_of_Parliament_(India),<Make_an_appeal_or_request>Akhilesh_Yadav,<Criticize_or_denounce>Ruling_Party_(India),<fight_with_small_arms_and_light_weapons>Military_Personnel_-_Special_(India),<Make_an_appeal_or_request>Governor_(India),<Criticize_or_denounce>Head_of_Government_(India),<Use_unconventional_violence>Military_Personnel_(India),<Criticize_or_denounce>Employee_(India),<Accuse>Military_Personnel_(India),<Engage_in_diplomatic_cooperation>Election_Commission_(India),	<Education_(Nigeria)>
<Criticize_or_denounce>Uhuru,<Criticize_or_denounce>Governor_(Kenya),	<Volvo>
<Make_an_appeal_or_request>Godwin_Emefiele,<Make_an_appeal_or_request>Dimeji_Bankole,<Demand>Government_(Nigeria),<Accuse>Muslim_(Nigeria),<Make_an_appeal_or_request>Nigerian_Bar_Association,<Make_an_appeal_or_request>Public_Courts_(Nigeria),<Accuse>Government_(Nigeria),	<Employee_(Kuwait)>
<Reject>Japan,	<Cabinet_/_Council_of_Ministers_/_Advisors_(United_States)>
<Conduct_suicide_car_or_other_non-military_bombing>Sudan,	<Head_of_Government_(Germany)>
<Make_an_appeal_or_request>Police_(Uganda),	<Lawyer/Attorney_(Turkey)>
<Accuse>North_Korea,	<Government_(Nepal)>
<Make_an_appeal_or_request>Party_Member_(United_Kingdom),	<Member_of_Parliament_(Ukraine)>
<fight_with_small_arms_and_light_weapons>Protester_(Yemen),<Use_unconventional_violence>Armed_Rebel_(Yemen),	<Volvo>
<Host_a_visit>Drug_Gang_(Mexico),	<Combatant_(Islamic_State_of_Iraq_and_the_Levant)>
<Use_unconventional_violence>Afghanistan,	<Head_of_Government_(Pakistan)>
<Sign_formal_agreement>Armed_Rebel_(Yemen),	<Thief_(India)>
<Make_an_appeal_or_request>Akhilesh_Yadav,	<Ethnic_Group_(India)>
