sentences	sensitiveAttr
<Make_a_visit>Sudan,	<Chimed_Saikhanbileg>
<Consult>Cabinet_/_Council_of_Ministers_/_Advisors_(United_States),	<Media_(Africa)>
<Host_a_visit>Head_of_Government_(Chad),	<Independence_Party>
<Host_a_visit>Labor_Party_(Norway),	<Military_(Vietnam)>
<Consult>Pierre_Nkurunziza,	<Cabinet_/_Council_of_Ministers_/_Advisors_(Somalia)>
<Consult>Barack_Obama,	<John_Kerry>
<Make_empathetic_comment>Citizen_(Yemen),<Use_conventional_military_force>Citizen_(Yemen),	<Government_(Sweden)>
<Make_an_appeal_or_request>Akhilesh_Yadav,	<Education_(Nigeria)>
<Threaten_with_military_force>Citizen_(Germany),	<Nestor_Kirchner>
<Ease_administrative_sanctions>Media_Personnel_(United_States),<Make_a_visit>China,<Host_a_visit>Ashraf_Ghani_Ahmadzai,<Arrest_detain_or_charge_with_legal_action>Indigenous_People_(Pakistan),<Consult>Ashraf_Ghani_Ahmadzai,<Host_a_visit>Indigenous_People_(India),	<Armed_Band_(Afghanistan)>
<Praise_or_endorse>Angola,	<Lawyer/Attorney_(Colombia)>
<Engage_in_diplomatic_cooperation>Other_Authorities_/_Officials_(China),	<Hamas>
<Use_conventional_military_force>Militant_(Iraq),<Use_conventional_military_force>Iraq,	<Freedom_Fighter_(Zambia)>
<Express_intent_to_meet_or_negotiate>Citizen_(United_Kingdom),	<Canada>
<Criticize_or_denounce>Citizen_(Lithuania),	<Social_Democratic_Party_(Lithuania)>
<Make_an_appeal_or_request>Nigerian_Navy,	<Government_(Nigeria)>
<Demand_change_in_leadership>Police_(Kenya),	<Head_of_Government_(Latvia)>
<Accuse>Bhupinder_Singh_Hooda,	<Criminal_(Argentina)>
<Accuse>Other_Authorities_/_Officials_(Russia),	<Scientist_(Tajikistan)>
<Express_intent_to_meet_or_negotiate>Citizen_(India),	<Combatant_(Islamic_State_of_Iraq_and_the_Levant)>
<Consult>John_Kerry,<Make_pessimistic_comment>North_Atlantic_Treaty_Organization,	<Madeleine_Albright>
<Engage_in_negotiation>Mexico,	<Congo>
<Praise_or_endorse>Hellenic_Armed_Forces,	<Coalition_of_the_Radical_Left>
<fight_with_small_arms_and_light_weapons>Military_(Philippines),	<RIA_Novosti>
<Use_unconventional_violence>South_Africa,	<Head_of_Government_(Germany)>
<Use_unconventional_violence>Military_(Lebanon),	<Raúl_Castro>
<fight_with_small_arms_and_light_weapons>Media_Personnel_(Somalia),	<Mustafa_Dzhemilev>
<Use_unconventional_violence>Citizen_(Nigeria),	<Armed_Band_(Lebanon)>
<Use_unconventional_violence>Hezbollah,	<United_Progressive_Alliance>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Iran,	<Cobra_Matata>
<Praise_or_endorse>Head_of_Government_(Pakistan),<Express_intent_to_meet_or_negotiate>Xi_Jinping,<Express_intent_to_meet_or_negotiate>Citizen_(Saudi_Arabia),<Praise_or_endorse>Iran,<Engage_in_negotiation>Xi_Jinping,<Make_pessimistic_comment>Afghanistan,	<Afghanistan>
<Consult>Police_(Yemen),	<Armed_Gang_(Egypt)>
<Use_unconventional_violence>Police_(Yemen),	<Al_Jazeera>
<Praise_or_endorse>Military_(Lebanon),	<Ivan_Gasparovic>
<Express_intent_to_cooperate>Thailand,	<Republican_People's_Party>
<Praise_or_endorse>Citizen_(Nigeria),	<Media_(Nigeria)>
<Engage_in_negotiation>Other_Authorities_/_Officials_(China),	<Government_(Nepal)>
<Engage_in_negotiation>Iran,<Praise_or_endorse>Colombia,<Make_a_visit>China,	<North_Atlantic_Treaty_Organization>
<Make_optimistic_comment>Iran,	<Iran>
<Praise_or_endorse>Police_(Israel),	<John_Kerry>
<Sign_formal_agreement>Hassan_Tukur,	<Government_(Nigeria)>
<Consult>Angola,	<Air_Force_(Iraq)>
<Consult>Military_Personnel_(Liberia),	<National_Council_for_Peace_and_Order_of_Thailand>
<Consult>Anandiben_Patel,	<Government_(United_States)>
<Praise_or_endorse>Joe_Oliver,<Express_intent_to_meet_or_negotiate>Canada,	<Head_of_Government_(Bulgaria)>
<Express_intent_to_cooperate>Labor_Union_(Uruguay),	<Luis_Alberto_Lacalle>
<Use_conventional_military_force>Student_(Kenya),<Consult>Cyprian_Awiti,	<Court_Judge_(Mexico)>
<Consult>Dmitry_Anatolyevich_Medvedev,	<New_Democracy>
<Express_intent_to_cooperate>Sergey_Viktorovich_Lavrov,<Consult>Ashraf_Ghani_Ahmadzai,	<Fumio_Kishida>
<Make_an_appeal_or_request>Citizen_(Yemen),<Make_an_appeal_or_request>Political_Parties_(Yemen),	<Detainee_(Lebanon)>
<Engage_in_symbolic_act>Canadian_Armed_Forces,<Host_a_visit>Sauli_Niinistö,	<Liberal_Party_(Canada)>
<Increase_military_alert_status>Canada,	<Police_(Middle_East)>
<Sign_formal_agreement>John_Kerry,<Express_intent_to_meet_or_negotiate>John_Kerry,	<Iran>
<Express_intent_to_settle_dispute>Afghanistan,<Express_intent_to_provide_material_aid>Afghanistan,<Express_intent_to_cooperate>Vietnam,<Express_intent_to_provide_economic_aid>Afghanistan,<Engage_in_negotiation>Laos,<Host_a_visit>Yasuo_Fukuda,<Engage_in_diplomatic_cooperation>Afghanistan,<Express_intent_to_cooperate>France,<Engage_in_diplomatic_cooperation>Vietnam,<Consult>Japan,	<Afghanistan>
<Consult>Sergey_Viktorovich_Lavrov,	<Iran>
<Carry_out_suicide_bombing>Iraq,	<Military_(China)>
<Make_optimistic_comment>People_Associated_with_the_Opposition_(Brazil),	<Dalbir_Singh>
<Demand>Viktor_Orban,<Make_an_appeal_or_request>Viktor_Orban,	<Rupiah_Banda>
<Express_intent_to_cooperate>Member_of_Parliament_(India),<Make_an_appeal_or_request>Military_Personnel_(India),<Criticize_or_denounce>Medical_Association_(India),<Conduct_suicide_car_or_other_non-military_bombing>Company_-_Owner_or_Operator_(India),<Use_unconventional_violence>Court_Judge_(India),<Accuse>Medical_Personnel_(India),<fight_with_small_arms_and_light_weapons>Head_of_Government_(India),	<Education_(Nigeria)>
<Criticize_or_denounce>City_Mayor_(Indonesia),	<Imad_Mugniyah>
<Make_an_appeal_or_request>Head_of_Government_(Kenya),<Make_an_appeal_or_request>Government_(Kenya),<Appeal_for_intelligence>Employee_(Kenya),<Make_an_appeal_or_request>Police_(Kenya),<Demand>Jackson_Mandago,	<Volvo>
<Make_an_appeal_or_request>Kit_Siang,	<Foreign_Affairs_(Chile)>
<Use_unconventional_violence>Military_(Mali),	<Foreign_Affairs_(United_States)>
<Demand_diplomatic_cooperation_(such_as_policy_support)>Government_(Nigeria),<Criticize_or_denounce>Niger_Delta_Development_Commission,<Accuse>Muhammadu_Buhari,<Make_an_appeal_or_request>Assemblies_(Nigeria),<Make_an_appeal_or_request>Human_Rights_Commission_(Nigeria),<Make_an_appeal_or_request>Oversight_Court_(Nigeria),<Appeal_for_economic_aid>Government_(Nigeria),	<Employee_(Kuwait)>
<Express_intent_to_meet_or_negotiate>Iraq,	<Lawmaker_(Turkey)>
<Use_unconventional_violence>Police_(South_Korea),	<Arnaud_Montebourg>
<Demonstrate_or_rally>Jakaya_Mrisho_Kikwete,	<Other_Authorities_/_Officials_(Egypt)>
<Use_unconventional_violence>Monastery_(Thailand),	<Martin_McGuinness>
<Protest_violently_riot>Military_(Turkey),	<Government_(France)>
<Use_unconventional_violence>Iraq,	<Member_of_Parliament_(Ukraine)>
<Make_an_appeal_or_request>Military_Police_(Yemen),<Make_an_appeal_or_request>Political_Parties_(Yemen),	<Volvo>
<Praise_or_endorse>National_Police_Service,	<Criminal_(Argentina)>
<Use_unconventional_violence>Cameroon,	<Oluṣẹgun_Ọbasanjọ>
<Make_a_visit>Iraq,	<Member_of_the_Judiciary_(Sierra_Leone)>
<Mobilize_or_increase_armed_forces>Iraq,	<Uhuru_Muigai_Kenyatta>
<Kill_by_physical_assault>Citizen_(United_Kingdom),	<Government_(Germany)>
<Use_unconventional_violence>Armed_Rebel_(Yemen),	<Thief_(India)>
<Express_intent_to_meet_or_negotiate>Citizen_(India),	<Mark_Lyall_Grant>
<Praise_or_endorse>Lawyer/Attorney_(Argentina),<Consult>Presidential_Candidate_(Argentina),	<Guy_Scott>
