sentences	sensitiveAttr
<Praise_or_endorse>Religion_(India),	<Election_Commission_(India)>
<Make_an_appeal_or_request>Xi_Jinping,<Consult>Qatar,	<Media_(Africa)>
<Meet_at_a_'third'_location>Jens_Stoltenberg,	<John_Kerry>
<Praise_or_endorse>Professor_(Benin),<Praise_or_endorse>Military_Personnel_(Benin),	<Moro_National_Liberation_Front>
<Sign_formal_agreement>Iran,<Make_a_visit>Tajikistan,	<Armed_Band_(Afghanistan)>
<Consult>China,	<Lawyer/Attorney_(Colombia)>
<Use_conventional_military_force>Employee_(Kenya),	<Police_(Dominican_Republic)>
<Make_a_visit>Mexico,<Consult>Mexico,	<Oman>
<Make_an_appeal_or_request>High_Ranking_Military_Personnel_(Nigeria),	<Military_(Mexico)>
<Discuss_by_telephone>Interfax,	<Daniel_Ortega>
<Express_intent_to_meet_or_negotiate>Tomislav_Nikolić,<Express_intent_to_meet_or_negotiate>Member_of_Legislative_(Govt)_(Serbia),<Consult>Fotis_Kouvelis,<Praise_or_endorse>Serbia,	<France>
<Consult>China,	<Social_Democratic_Party_(Lithuania)>
<Accuse>Ibrahim_Hassan_Dankwambo,	<Government_(Nigeria)>
<Express_intent_to_meet_or_negotiate>Citizen_(India),	<Criminal_(Argentina)>
<Criticize_or_denounce>Barack_Obama,	<Julie_Bishop>
<Make_an_appeal_or_request>France,<Appeal_for_political_reform>France,	<Madeleine_Albright>
<Consult>Evangelos_Venizelos,<Make_an_appeal_or_request>Member_of_Legislative_(Govt)_(Greece),	<Coalition_of_the_Radical_Left>
<Use_unconventional_violence>Member_of_the_Judiciary_(Afghanistan),	<Media_(Africa)>
<Assassinate>Oodua_Peoples_Congress,	<Military_(Philippines)>
<Conduct_suicide_car_or_other_non-military_bombing>Afghanistan,	<Western_Sahara>
<Carry_out_suicide_bombing>Citizen_(Yemen),	<Argentine_Naval_Prefecture>
<Kill_by_physical_assault>Citizen_(India),	<Justin_Trudeau>
<Carry_out_suicide_bombing>Police_(Libya),	<Court_Judge_(Iraq)>
<Provide_aid>Slovene_Christian_Democrats,	<Independence_Party>
<Host_a_visit>Seyran_Ohanyan,<Consult>Elmar_Mammadyarov,	<Cobra_Matata>
<Consult>Jens_Stoltenberg,<Express_intent_to_meet_or_negotiate>Jens_Stoltenberg,<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>Verkhovna_Rada,<Make_an_appeal_or_request>North_Atlantic_Treaty_Organization,	<Head_of_Government_(Ukraine)>
<Consult>Pakistan_Tehreek-e-Insaf,	<Indigenous_People_(South_Korea)>
<Sign_formal_agreement>Defense_/_Security_Ministry_(United_States),<Consult>Inter-Services_Intelligence,<Make_a_visit>Afghanistan,<Consult>Abdullah_Abdullah,<Praise_or_endorse>China,<Reject>Armed_Band_(Afghanistan),	<Afghanistan>
<Demand>Member_of_the_Judiciary_(Bangladesh),<Use_unconventional_violence>Citizen_(Bangladesh),	<Government_(South_Africa)>
<Engage_in_diplomatic_cooperation>Kuwait,<Accuse>Qatar,	<Republican_People's_Party>
<Make_an_appeal_or_request>Citizen_(Nigeria),	<Media_(Nigeria)>
<Discuss_by_telephone>Raúl_Castro,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Guinea,<Accuse>North_Korea,<Criticize_or_denounce>North_Korea,	<North_Atlantic_Treaty_Organization>
<Accuse>Tzipi_Livni,<Reject>Yair_Lapid,<Accuse>Yair_Lapid,<Express_intent_to_meet_or_negotiate>Yair_Lapid,<Meet_at_a_'third'_location>Cabinet_/_Council_of_Ministers_/_Advisors_(United_States),<Consult>Yair_Lapid,	<John_Kerry>
<Consult>UN_Security_Council,	<Election_Commission_(India)>
<Make_an_appeal_or_request>Head_of_Government_(India),	<Umar_al_Bashir>
<Use_conventional_military_force>Citizen_(Nigeria),<fight_with_small_arms_and_light_weapons>Citizen_(Nigeria),	<Government_(Nigeria)>
<Share_intelligence_or_information>Campbell_Newman,	<Mob_(Kenya)>
<Cooperate_economically>Iran,<Cooperate_militarily>Iran,	<Armed_Gang_(Benin)>
<Consult>Representatives_(Belarus),<Consult>Head_of_Government_(Pakistan),	<Student_(Tanzania)>
<Use_conventional_military_force>Citizen_(United_Kingdom),	<Oil_Tanker_(Bangladesh)>
<Consult>Takeshi_Onaga,	<Thailand>
<Make_a_visit>Angola,<Make_an_appeal_or_request>Guerrilla_(Revolutionary_Armed_Forces_of_Colombia),	<Fumio_Kishida>
