sentences	sensitiveAttr
<Express_intent_to_provide_material_aid>Men_(India),	<Election_Commission_(India)>
<Engage_in_diplomatic_cooperation>Other_Authorities_/_Officials_(Egypt),	<Media_(Africa)>
<Consult>John_Kerry,	<John_Kerry>
<Make_an_appeal_or_request>Citizen_(Nigeria),	<Moro_National_Liberation_Front>
<Accuse>Government_(Nigeria),	<State_Security_Service>
<Host_a_visit>John_Kerry,<Host_a_visit>Foreign_Affairs_(United_States),	<Armed_Band_(Afghanistan)>
<Make_pessimistic_comment>Sudan,	<Lawyer/Attorney_(Colombia)>
<Discuss_by_telephone>Greenpeace,	<Hamas>
<Express_intent_to_meet_or_negotiate>Canada,	<Government_Official_(Russia)>
<Return_release_person(s)>Businessperson_(Somalia),	<Police_(Dominican_Republic)>
<Make_an_appeal_or_request>UN_Security_Council,	<Oman>
<Host_a_visit>Suleiman_Abba,	<Military_(Mexico)>
<Make_an_appeal_or_request>Congress_(Argentina),	<Jason_C._Hu>
<Make_a_visit>Iran,<Praise_or_endorse>Iran,	<South_Sudan>
<Praise_or_endorse>Employee_(India),<Criticize_or_denounce>Omar_Abdullah,<Make_an_appeal_or_request>Citizen_(India),	<Criminal_(Argentina)>
<Threaten>Government_(Nigeria),	<Scientist_(Tajikistan)>
<Express_intent_to_meet_or_negotiate>Ma_Ying_Jeou,	<Tourist_(United_States)>
<Criticize_or_denounce>Citizen_(Brazil),	<Head_of_Government_(Bahrain)>
<Abduct_hijack_or_take_hostage>Employee_(Afghanistan),	<Media_(Africa)>
<Use_unconventional_violence>Police_(Egypt),	<Dimitrios_Avramopoulos>
<Use_unconventional_violence>Military_(Lebanon),	<Government_(Nepal)>
<Criticize_or_denounce>France,<Criticize_or_denounce>Government_(France),	<Education_Ministry_(France)>
<Engage_in_negotiation>Abdullah_Abdullah,	<Afghanistan>
<Reject>Citizen_(Kenya),	<Armed_Gang_(Egypt)>
<Express_intent_to_meet_or_negotiate>Myanmar,<Praise_or_endorse>Philippines,<Consult>Julie_Bishop,	<Head_of_Government_(Ukraine)>
<Rally_support_on_behalf_of>Israeli_Defense_Forces,<Meet_at_a_'third'_location>Angela_Merkel,<Express_intent_to_meet_or_negotiate>UN_Security_Council,	<North_Atlantic_Treaty_Organization>
<Express_intent_to_meet_or_negotiate>China,	<Defense_/_Security_Ministry_(South_Sudan)>
<Praise_or_endorse>John_Kerry,<Criticize_or_denounce>Cabinet_/_Council_of_Ministers_/_Advisors_(Israel),	<John_Kerry>
<Host_a_visit>Finance_/_Economy_/_Commerce_/_Trade_Ministry_(India),	<Armed_Gang_(Saudi_Arabia)>
<Consult>Colombia,	<Business_(Russia)>
<Arrest_detain_or_charge_with_legal_action>Citizen_(India),	<Pakistan_Tehreek-e-Insaf>
<Consult>Defense_/_Security_Ministry_(Cyprus),	<Sikh_(India)>
<Consult>Police_(Rwanda),	<Armed_Rebel_(Syria)>
<Consult>Canada,	<Head_of_Government_(Bulgaria)>
