sentences	sensitiveAttr
<Demand>Government_(Pakistan),	<Iran>
<Host_a_visit>China,	<Jean-Yves_Le_Drian>
<Express_intent_to_meet_or_negotiate>Japan,	<Maldives>
<Engage_in_diplomatic_cooperation>Kuwait,<Consult>Industry_(Turkey),<Criticize_or_denounce>Police_(Syria),	<Businessperson_(Turkey)>
<Sign_formal_agreement>Government_(Nigeria),	<Activist_(United_States)>
<Arrest_detain_or_charge_with_legal_action>Citizen_(Indonesia),	<Yulia_Tymoshenko>
<Demonstrate_or_rally>Foreign_Affairs_(Russia),	<Government_(Bahamas)>
<Discuss_by_telephone>Agence_France-Presse,	<Thief_(India)>
<Make_a_visit>Burundi,	<Veterans_(Croatia)>
<Make_an_appeal_or_request>Citizen_(Benin),	<Moro_National_Liberation_Front>
<Make_a_visit>Kuwait,<Express_intent_to_cooperate>Citizen_(Australia),	<Police_(Egypt)>
<Demand>Citizen_(International),<Engage_in_diplomatic_cooperation>Iran,<Engage_in_negotiation>Sayed_Fazlollah_Wahidi,<Make_empathetic_comment>Mohammed_Qasim_Fahim,<Consult>Iran,	<Armed_Band_(Afghanistan)>
<Meet_at_a_'third'_location>Angola,	<Lawyer/Attorney_(Colombia)>
<Discuss_by_telephone>China,<Make_pessimistic_comment>Haiti,	<Hamas>
<Make_an_appeal_or_request>Citizen_(India),	<Xi_Jinping>
<Accuse>Justice_and_Development_Party,	<Defense_/_Security_Ministry_(China)>
<Engage_in_negotiation>Cho_Tai-young,	<Security_Council_(Russia)>
<Use_conventional_military_force>Militant_(Somalia),	<Police_(Dominican_Republic)>
<Discuss_by_telephone>Movement_of_Society_for_Peace,	<Qatar>
<Consult>Iran,<Accuse>Foreign_Affairs_(Austria),	<Oman>
<Consult>Gideon_Sa'ar,	<Haiti>
<Make_an_appeal_or_request>Citizen_(United_Kingdom),<Reject>Citizen_(United_Kingdom),	<Party_Member_(United_Kingdom)>
<Consult>Edgars_Rinkevics,	<Somali_National_Army>
<Consult>Dmitry_Anatolyevich_Medvedev,	<Defense_/_Security_Ministry_(Ukraine)>
<Praise_or_endorse>France,	<Social_Democratic_Party_(Lithuania)>
<Make_an_appeal_or_request>Other_Authorities_/_Officials_(Swaziland),	<Scientist_(Tajikistan)>
<Make_a_visit>Japan,	<Julie_Bishop>
<Consult>Xi_Jinping,<Express_intent_to_cooperate>Barack_Obama,<Express_intent_to_meet_or_negotiate>Poland,	<Madeleine_Albright>
<Sign_formal_agreement>Sergey_Viktorovich_Lavrov,	<Congo>
<Consult>Angela_Merkel,<Express_intent_to_meet_or_negotiate>Yulia_Tymoshenko,	<Coalition_of_the_Radical_Left>
<Apologize>Media_(South_Africa),	<Associated_Press>
<Make_a_visit>China,	<Franklin_Drilon>
<Threaten>Men_(Argentina),	<Tea_Banh>
<Use_unconventional_violence>Citizen_(India),	<Foreign_Affairs_(Lebanon)>
<Use_unconventional_violence>Military_(Lebanon),	<Employee_(India)>
<Carry_out_suicide_bombing>Military_Personnel_-_Special_(Afghanistan),<Use_unconventional_violence>Military_Personnel_-_Special_(Afghanistan),<Carry_out_suicide_bombing>Election_Commission_(Afghanistan),<Use_unconventional_violence>Afghanistan,	<Western_Sahara>
<Use_unconventional_violence>Indigenous_People_(Nigeria),	<AvtoVAZ>
<Use_unconventional_violence>Military_(Lebanon),<Impose_administrative_sanctions>Military_Personnel_(Libya),<Abduct_hijack_or_take_hostage>Central_Bank_of_Libya,	<Court_Judge_(Iraq)>
<Use_unconventional_violence>Children_(Thailand),<Use_unconventional_violence>Citizen_(Thailand),	<Media_Personnel_(Thailand)>
<Use_unconventional_violence>Middle_East,	<United_Progressive_Alliance>
<Retreat_or_surrender_militarily>Citizen_(Yemen),	<Ri_Su_Yong>
<Praise_or_endorse>Government_(Syria),	<Cobra_Matata>
<fight_with_small_arms_and_light_weapons>Citizen_(Venezuela),	<Member_of_Parliament_(Romania)>
<Demand>Police_(Ukraine),	<Military_(Russia)>
<Demonstrate_or_rally>Other_Authorities_/_Officials_(Russia),<Express_intent_to_meet_or_negotiate>North_Atlantic_Treaty_Organization,<Consult>Barack_Obama,<Make_a_visit>Pope_Francis,<Demand>Defense_/_Security_Ministry_(Ukraine),<Consult>Joseph_Robinette_Biden,	<Head_of_Government_(Ukraine)>
<Demand>Political_Parties_(Burkina_Faso),	<Detainee_(Lebanon)>
<Consult>Arseniy_Yatsenyuk,<Discuss_by_telephone>Lawyer/Attorney_(Colombia),	<Armed_Gang_(Egypt)>
<Accuse>Police_(Jordan),	<Medical_Personnel_(Jordan)>
<Use_unconventional_violence>Military_Personnel_-_Special_(Afghanistan),	<Legislature_(Libya)>
<Make_an_appeal_or_request>Citizen_(Turkey),	<Ministry_(Thailand)>
<Sign_formal_agreement>Stephane_Le_Foll,	<Australia_Greens>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Haiti,	<Haiti>
<Criticize_or_denounce>United_Arab_Emirates,<Engage_in_diplomatic_cooperation>Iran,<Criticize_or_denounce>Nuri_al-Maliki,<Reduce_or_break_diplomatic_relations>Qatar,<Host_a_visit>Sheikh_Ahmed_Abdullah,	<Republican_People's_Party>
<Consult>Barack_Obama,	<Foreign_Affairs_(United_States)>
<Conduct_strike_or_boycott>Awami_(People's)_League,<Threaten>Awami_(People's)_League,<Use_unconventional_violence>Militant_(Bangladesh),	<Awami_(People's)_League>
<Consult>Umar_al_Bashir,<Consult>Benjamin_Netanyahu,<Consult>Elizabeth_II,<Accuse>Benjamin_Netanyahu,<Make_a_visit>Malaysia,<Express_intent_to_cooperate>Angela_Merkel,<Express_intent_to_meet_or_negotiate>Citizen_(Belgium),<Praise_or_endorse>Veterans_(Philippines),<Make_a_visit>South_Korea,<Express_intent_to_cooperate_economically>Iran,<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>International_Monetary_Fund,<Make_a_visit>Japan,<Host_a_visit>Benjamin_Netanyahu,<Consult>Head_of_Government_(South_Korea),<Express_intent_to_meet_or_negotiate>Head_of_Government_(Ukraine),<Express_intent_to_meet_or_negotiate>Pope_Francis,<Discuss_by_telephone>Angela_Merkel,<Consult>Pope_Francis,<Make_an_appeal_or_request>North_Atlantic_Treaty_Organization,<Express_intent_to_cooperate_militarily>Philippines,<Consult>François_Hollande,<Make_a_visit>North_Korea,<Meet_at_a_'third'_location>Xi_Jinping,<Consult>UN_Security_Council,<Consult>Cabinet_/_Council_of_Ministers_/_Advisors_(Holy_See_(Vatican_City_State)),<Consult>Pietro_Parolin,<Appeal_for_political_reform>International_Monetary_Fund,<Praise_or_endorse>Military_Personnel_-_Special_(Afghanistan),<Express_intent_to_provide_material_aid>South_Korea,<Make_a_visit>Philippines,<Praise_or_endorse>Benjamin_Netanyahu,	<North_Atlantic_Treaty_Organization>
<Express_intent_to_cooperate>Yair_Lapid,<Accuse>Iran,<Consult>John_Kerry,<Reject_proposal_to_meet_discuss_or_negotiate>Government_(Palestinian_Territory_Occupied),<Consult>Joseph_Robinette_Biden,	<John_Kerry>
<Make_an_appeal_or_request>Citizen_(India),	<Police_(Hong_Kong)>
<Make_an_appeal_or_request>Government_(Nigeria),	<Uhuru_Muigai_Kenyatta>
<Make_an_appeal_or_request>Keriako_Tobiko,	<National_Police>
<Abduct_hijack_or_take_hostage>Education_(Nigeria),<Use_conventional_military_force>Education_(Nigeria),	<Government_(Nigeria)>
<Arrest_detain_or_charge_with_legal_action>Citizen_(Venezuela),	<Armed_Band_(Lebanon)>
<Accuse>Citizen_(Nigeria),<Make_a_visit>Head_of_Government_(Nigeria),	<Israeli_Defense_Forces>
<Sign_formal_agreement>Tanzania,	<Armed_Rebel_(Syria)>
<Consult>Labor_and_Employment_Ministry_(Bahrain),	<Head_of_Government_(Bahrain)>
<Consult>Ministry_(Croatia),	<Military_Personnel_(Yemen)>
<Consult>Benjamin_Netanyahu,	<National_Youth_Service>
<Consult>Ministry_(Thailand),	<Other_Authorities_/_Officials_(Hong_Kong)>
<Consult>Akitaka_Saiki,<Engage_in_negotiation>Sergey_Viktorovich_Lavrov,<Make_pessimistic_comment>Militant_(Ukraine),<Consult>Sergey_Viktorovich_Lavrov,<Discuss_by_telephone>Sergey_Viktorovich_Lavrov,<Consult>Foreign_Affairs_(Russia),<Meet_at_a_'third'_location>Sergey_Viktorovich_Lavrov,	<Fumio_Kishida>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Citizen_(Malaysia),	<Thailand>
<Express_intent_to_meet_or_negotiate>Citizen_(Australia),	<Milos_Zeman>
<Make_an_appeal_or_request>Foreign_Affairs_(Russia),<Mobilize_or_increase_armed_forces>Romania,<Express_intent_to_meet_or_negotiate>France,	<Liberal_Party_(Canada)>
<Consult>Iurie_Leanca,	<City_Mayor_(Italy)>
<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>Japan,	<Head_of_Government_(Nigeria)>
<Engage_in_negotiation>Mohammad_Javad_Zarif,<Consult>Dissident_(Iran),<Meet_at_a_'third'_location>John_Kerry,<Engage_in_negotiation>Iran,<Make_a_visit>Iran,<Consult>Adli_Mansour,<Express_intent_to_cooperate>Government_(Nigeria),<Consult>Head_of_Government_(Kosovo),<Express_intent_to_meet_or_negotiate>Iran,	<Iran>
<Consult>Defense_/_Security_Ministry_(United_States),<Accuse>Japan,	<Military_(China)>
<Consult>Jeroen_Dijsselbloem,	<Foreign_Affairs_(Syria)>
<Host_a_visit>Shimon_Peres,<Make_a_visit>Malaysia,<Praise_or_endorse>Xi_Jinping,<Engage_in_diplomatic_cooperation>Myanmar,<Make_optimistic_comment>Pavlo_Sheremeta,<Cooperate_economically>France,<Host_a_visit>Chuck_Hagel,<Host_a_visit>Xi_Jinping,<Make_an_appeal_or_request>Police_(Malaysia),<Express_intent_to_cooperate_economically>South_Korea,<Host_a_visit>Governor_(Japan),<Host_a_visit>North_Korea,<Grant_diplomatic_recognition>Cameroon,<Appeal_for_intelligence>International_Government_Organizations,<Engage_in_diplomatic_cooperation>New_Zealand,<Host_a_visit>Naval_(Bangladesh),<Criticize_or_denounce>Yoshitaka_Shindo,<Make_a_visit>François_Hollande,<Make_a_visit>France,<Host_a_visit>Japan,<Praise_or_endorse>Myanmar,<Appeal_for_intelligence>Malaysia,	<Afghanistan>
<Criticize_or_denounce>Citizen_(Nigeria),	<Defense_/_Security_Ministry_(Nigeria)>
<Consult>Chang_Wanquan,<Praise_or_endorse>Military_(Mongolia),<Threaten>China,<Make_a_visit>China,<Praise_or_endorse>Sergey_Kuzhugetovich_Shoygu,<Make_a_visit>Guatemala,<Consult>Defense_/_Security_Ministry_(Malaysia),<Praise_or_endorse>Japan,	<Iran>
<Reduce_relations>Member_of_Parliament_(Australia),	<Military_(China)>
<Make_an_appeal_or_request>Children_(Taiwan),	<Justin_Trudeau>
<Make_an_appeal_or_request>European_Parliament,	<Ethiopia>
<Express_intent_to_meet_or_negotiate>Goh_Chok_Tong,	<Police_(Kenya)>
<Appeal_for_easing_of_administrative_sanctions>Oversight_Court_(Bulgaria),	<Civil_Guard>
<Make_an_appeal_or_request>Indigenous_People_(Cote_d'Ivoire),<Accuse>Medical_Personnel_(Cote_d'Ivoire),	<Pope_Francis>
<Criticize_or_denounce>Andrej_Babis,	<Ukrinform>
<Make_optimistic_comment>North_Atlantic_Treaty_Organization,	<City_Mayor_(Croatia)>
<Demonstrate_or_rally>Foreign_Affairs_(Russia),	<Business_(Canada)>
<Physically_assault>Election_Commission_(India),<Demand>Ethnic_Group_(India),<Accuse>Thief_(India),<Complain_officially>Employee_(India),<Accuse>Election_Commission_(India),<Reduce_relations>Labor_Union_(India),<Make_an_appeal_or_request>Oommen_Chandy,<Accuse>Media_(India),<Express_intent_to_meet_or_negotiate>AK_Singh,<Accuse>Employee_(India),<Accuse>Baljinder_Singh,<Make_an_appeal_or_request>Election_Commission_(India),<Criticize_or_denounce>Military_Personnel_-_Special_(India),	<Education_(Nigeria)>
<Accuse>Military_Personnel_-_Special_(Kenya),<Express_intent_to_meet_or_negotiate>Ethiopia,	<Volvo>
